agent1,agent2,agent1 sum of rewards,agent2 sum of rewards,game length average
Agent 1: DDQN - policy 1,Agent 2: DDQN - policy 2,-29840.0,29840.0,2.1496
Agent 1: DDQN - policy 1,Agent 3: DQN - policy 1,19197.0,-19197.0,2.0584
Agent 1: DDQN - policy 1,Agent 4: DuelingDQN - policy 1,8027.0,-8027.0,1.0386
Agent 1: DDQN - policy 1,Agent 5: Self play on agent 1,18539.0,-18539.0,2.0125
Agent 1: DDQN - policy 1,Agent 6: Continued self play on agent 5,-574967.0,574967.0,7.2505
Agent 2: DDQN - policy 2,Agent 1: DDQN - policy 1,-2567.0,2567.0,2.4178
Agent 2: DDQN - policy 2,Agent 3: DQN - policy 1,9428.0,-9428.0,1.0847
Agent 2: DDQN - policy 2,Agent 4: DuelingDQN - policy 1,25624.0,-25624.0,2.161
Agent 2: DDQN - policy 2,Agent 5: Self play on agent 1,342525.0,-342525.0,5.4438
Agent 2: DDQN - policy 2,Agent 6: Continued self play on agent 5,-20518.0,20518.0,2.0422
Agent 3: DQN - policy 1,Agent 1: DDQN - policy 1,-1162.0,1162.0,2.0379
Agent 3: DQN - policy 1,Agent 2: DDQN - policy 2,9924.0,-9924.0,1.0082
Agent 3: DQN - policy 1,Agent 4: DuelingDQN - policy 1,9128.0,-9128.0,1.0641
Agent 3: DQN - policy 1,Agent 5: Self play on agent 1,18579.0,-18579.0,1.9897
Agent 3: DQN - policy 1,Agent 6: Continued self play on agent 5,-6211.0,6211.0,1.0648
Agent 4: DuelingDQN - policy 1,Agent 1: DDQN - policy 1,9595.0,-9595.0,1.0594
Agent 4: DuelingDQN - policy 1,Agent 2: DDQN - policy 2,352108.0,-352108.0,7.363
Agent 4: DuelingDQN - policy 1,Agent 3: DQN - policy 1,-20100.0,20100.0,2.0403
Agent 4: DuelingDQN - policy 1,Agent 5: Self play on agent 1,-20256.0,20256.0,2.0581
Agent 4: DuelingDQN - policy 1,Agent 6: Continued self play on agent 5,-5543.0,5543.0,2.0278
Agent 5: Self play on agent 1,Agent 1: DDQN - policy 1,-12222.0,12222.0,2.1
Agent 5: Self play on agent 1,Agent 2: DDQN - policy 2,121162.0,-121162.0,3.6882
Agent 5: Self play on agent 1,Agent 3: DQN - policy 1,412766.0,-412766.0,11.5266
Agent 5: Self play on agent 1,Agent 4: DuelingDQN - policy 1,-19465.0,19465.0,2.0785
Agent 5: Self play on agent 1,Agent 6: Continued self play on agent 5,-3972.0,3972.0,2.0382
Agent 6: Continued self play on agent 5,Agent 1: DDQN - policy 1,-20865.0,20865.0,1.9967
Agent 6: Continued self play on agent 5,Agent 2: DDQN - policy 2,-8722.0,8722.0,6.8309
Agent 6: Continued self play on agent 5,Agent 3: DQN - policy 1,-8460.0,8460.0,1.0614
Agent 6: Continued self play on agent 5,Agent 4: DuelingDQN - policy 1,-1096.0,1096.0,7.548
Agent 6: Continued self play on agent 5,Agent 5: Self play on agent 1,5542.0,-5542.0,2.0335
